name,location,music
一个轿儿三尺三,绵竹县,"[[64, 67, 64, 67, 69, 64, 72, 69, 67, 64, 67, 69, 69, 67, 64, 67, 69, 72, 69, 67, 64, 67], [256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 256.0, 128.0, 128.0, 256.0, 768.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 768.0]]"
一个鸡蛋两个黄,康定县,"[[64, 64, 67, 64, 67, 69, 69, 69, 72, 69, 67, 69, 64, 64, 64, 67, 69, 69, 67, 64, 64, 60, 64, 67, 64, 62, 60, 57, 57], [256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 512.0]]"
一根竹儿一个节,冕宁县,"[[57, 60, 62, 64, 69, 74, 72, 74, 69, 64, 67, 57, 62, 60, 62, 64, 67, 62, 60, 62, 57, 57, 59, 74, 72, 74, 69, 64, 67, 57, 62, 60, 62, 64, 67, 62, 60, 62, 57, 57, 59, 57, 60, 62, 64, 69, 74, 72, 74, 69, 64, 67, 57, 62, 60, 62, 64, 67, 62, 60, 62, 57, 57, 59, 74, 72, 74, 69, 64, 67, 57, 62, 60, 62, 64, 67, 62, 60, 62, 57, 57, 59, 62, 52, 55, 60, 62, 64, 62, 60, 57, 55, 57, 57, 59, 62, 52, 55, 60, 62, 64, 62, 60, 57, 55, 57, 57, 59], [256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 512.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 512.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0]]"
一颗豆子圆又圆,汶川县,"[[69, 64, 67, 64, 67, 64, 62, 64, 69, 69, 69, 71, 69, 71, 69, 67, 64, 67, 64, 71, 69, 69, 71, 69, 67, 67, 64, 67, 62, 64, 67, 62, 64, 62, 60, 57, 60, 57], [256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 384.0, 128.0, 512.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 384.0, 256.0, 512.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 512.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 384.0, 128.0, 512.0]]"
万年不想离爹娘,大足县,"[[72, 72, 72, 69, 67, 69, 72, 72, 72, 69, 67, 64, 69, 67, 69, 67, 64, 60, 64, 62, 60, 81, 59], [256.0, 256.0, 256.0, 128.0, 128.0, 1024.0, 256.0, 256.0, 256.0, 128.0, 128.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0]]"
三月撒秧四月栽,古蔺县,"[[74, 71, 74, 74, 79, 76, 72, 74, 76, 74, 76, 74, 72, 69, 67, 69, 72, 74, 74, 74, 76, 74, 76, 79, 74, 76, 72, 74, 72, 72, 74, 69, 69, 72, 74, 72, 74, 74, 74, 69, 72, 74, 72, 69, 67, 69, 72, 74, 74, 74, 83, 81, 79, 79, 74, 74], [256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 512.0, 768.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 512.0, 512.0, 1024.0, 256.0, 768.0, 832.0, 128.0, 832.0, 128.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 1024.0, 1024.0, 1024.0, 256.0, 256.0, 512.0, 1024.0, 1024.0, 1024.0]]"
上漆山,城口县,"[[72, 69, 67, 69, 72, 67, 69, 69, 74, 72, 69, 72, 69, 74, 74, 74, 76, 72, 69, 67, 69, 72, 74, 67, 69, 72, 69, 74, 72, 72, 74, 67, 69, 67], [256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 768.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 512.0, 128.0, 128.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 384.0, 128.0, 512.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 768.0]]"
下沟去干活,金川县,"[[69, 72, 76, 76, 74, 72, 69, 72, 74, 76, 74, 72, 69, 72, 71, 69, 67, 65, 67, 69, 67, 65, 64, 62, 62, 59], [1024.0, 512.0, 384.0, 128.0, 768.0, 256.0, 768.0, 256.0, 768.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 512.0, 128.0, 128.0, 1024.0, 512.0, 512.0]]"
下简州,简阳县,"[[64, 60, 62, 64, 60, 60, 64, 62, 59, 60, 57, 57, 60, 62, 57, 60, 57, 59, 59], [256.0, 512.0, 256.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 128.0, 128.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0]]"
不带刀子会杀鸡,茂县,"[[62, 67, 64, 62, 62, 64, 67, 64, 62, 62, 67, 67, 64, 62, 64, 62, 60, 60, 57, 55, 55, 60, 60, 57, 60, 62, 64, 60, 60, 57, 55, 55, 59], [256.0, 512.0, 256.0, 512.0, 512.0, 256.0, 512.0, 256.0, 512.0, 512.0, 256.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0, 512.0, 256.0, 512.0, 512.0, 384.0, 128.0, 256.0, 256.0, 768.0, 256.0, 256.0, 512.0, 256.0, 512.0, 256.0, 256.0]]"
