name,location,music
下盘棋,龙口市,"[[67, 69, 72, 69, 69, 67, 69, 72, 67, 69, 67, 69, 72, 74, 69, 67, 64, 69, 67, 69, 67, 64, 62, 64, 67, 69, 69, 69, 72, 67, 69, 72, 69, 72, 69, 72, 69, 67, 64, 67, 69, 67, 64, 62, 62, 60, 62, 67, 64, 62], [256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 768.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 384.0, 128.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 128.0, 128.0, 256.0, 256.0, 1024.0]]"
五更五点五柱香,枣庄市,"[[69, 64, 67, 64, 67, 64, 74, 71, 69, 69, 69, 71, 69, 64, 64, 67, 69, 64, 67, 64, 71, 69, 67, 64, 67, 64, 62, 64, 60, 57, 64, 60, 62, 64, 71, 69, 69, 67, 64, 59, 67, 64, 67, 62, 67, 60, 62, 64, 67, 64, 62, 62, 59, 59, 59, 57, 55], [256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 768.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 256.0, 256.0, 256.0, 768.0, 256.0, 512.0, 256.0, 1024.0, 256.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0]]"
井边把菜淘,苍山县,"[[64, 62, 64, 67, 59, 57, 55, 55, 57, 60, 57, 62, 64, 62, 62, 62, 59, 59, 57, 50, 59, 57, 55, 57, 59, 57, 55, 55, 57, 59, 59, 57, 60, 62, 64, 62, 62, 62, 59, 59, 57, 62, 59, 57, 55, 57, 59, 57, 55], [256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 1024.0]]"
你那营里尽俺挑,成武县,"[[67, 69, 67, 62, 69, 67, 64, 67, 69, 67, 71, 69, 67, 64, 67, 69, 71, 72, 69, 67, 67, 64, 67, 69, 64, 69, 67, 67, 64, 67, 69, 64, 69, 67, 64, 67, 64, 67, 72, 69, 67], [256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 512.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0]]"
儿童团歌,高密县,"[[60, 60, 57, 55, 67, 69, 64, 67, 67, 72, 69, 67, 69, 67, 64, 62, 64, 67, 62, 64, 67, 64, 69, 67, 69, 64, 60, 62, 67, 62, 60, 62, 60, 57, 55], [256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 512.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 512.0]]"
刮地风,淄博市,"[[64, 62, 60, 60, 62, 64, 67, 64, 62, 64, 64, 72, 69, 67, 64, 62, 67, 59, 59, 57, 59, 57, 55, 60, 60, 57, 67, 64, 64, 64, 64, 62, 60, 60, 59, 64, 62, 60, 59, 64, 62, 60, 59, 64, 62, 60, 60, 60, 57, 67, 64, 64, 64, 64, 62, 60, 60, 60, 59], [128.0, 128.0, 384.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 512.0, 256.0, 256.0, 128.0, 128.0, 256.0, 1024.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 768.0, 256.0]]"
劝伪军反正,陵县,"[[74, 74, 76, 74, 72, 74, 74, 76, 74, 72, 72, 69, 67, 69, 72, 74, 74, 76, 72, 74, 60, 69, 67, 72, 69, 67, 64, 67, 64, 62, 74, 74, 76, 72, 74, 72, 69, 67, 72, 69, 67, 64, 67, 64, 62], [256.0, 256.0, 128.0, 128.0, 256.0, 1024.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 1024.0, 256.0, 512.0, 256.0, 128.0, 128.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 1024.0, 256.0, 512.0, 256.0, 128.0, 128.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 1024.0]]"
劝善调,陵县,"[[69, 69, 67, 64, 62, 62, 60, 67, 64, 64, 62, 57, 60, 64, 64, 64, 64, 62, 64, 62, 59, 57, 55, 57, 57, 57, 52, 55, 55, 59], [256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 128.0, 384.0, 512.0, 384.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 512.0, 512.0, 512.0]]"
劝郎参军,东阿县,"[[67, 69, 67, 62, 59, 67, 67, 69, 67, 62, 69, 69, 69, 74, 69, 67, 64, 62, 62, 62, 64, 62, 60, 57, 60, 62, 59, 62, 59, 62, 59, 59], [512.0, 256.0, 256.0, 768.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0]]"
十个字,青岛市,"[[72, 72, 69, 67, 72, 69, 67, 67, 72, 72, 69, 67, 64, 67, 69, 72, 69, 67, 67, 64, 62, 60, 60, 62, 60, 62, 59, 67, 69, 72, 69, 67, 67, 65, 62, 69, 67, 72, 69, 67, 62, 67, 62, 60], [128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 128.0, 256.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 384.0, 128.0, 256.0, 128.0, 128.0, 256.0, 256.0, 128.0, 384.0]]"
