name,location,music
瞅你两回,河曲县,"[[72, 69, 67, 72, 67, 62, 60, 55, 60, 62, 60, 55, 60, 60, 60, 62, 60, 55, 60, 60, 62, 60, 55, 60, 60, 60, 62, 60, 55, 60, 62, 67, 67, 55, 72, 69, 67, 72, 67, 62, 60, 55, 60, 60, 62, 60, 55, 67, 62, 62, 60, 55, 60, 60, 60, 62, 60, 55, 67, 67, 67, 62, 60, 55, 60, 62, 67, 67, 72, 67, 65, 62, 60, 72, 69, 67, 72, 67, 62, 60, 55, 60, 60, 62, 60, 55, 60, 60, 60, 62, 60, 55, 60, 60, 62, 60, 55, 60, 60, 60, 62, 60, 55, 60, 62, 67, 67, 55, 72, 69, 67, 72, 67, 62, 60, 55, 60, 62, 60, 55, 67, 62, 60, 55, 60, 62, 60, 55, 67, 62, 60, 55, 60, 62, 60, 55, 64, 67, 62, 60, 55, 60, 62, 60, 55, 65, 62, 60, 55, 60, 62, 67, 67, 72, 67, 65, 62, 60], [384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 1024.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 1024.0, 256.0, 512.0, 256.0, 256.0, 768.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 1024.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 128.0, 256.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 1024.0, 256.0, 512.0, 256.0, 256.0, 768.0]]"
哥哥的苦,静乐县,"[[76, 76, 79, 72, 74, 76, 74, 72, 69, 67, 64, 76, 76, 79, 72, 74, 76, 74, 72, 69, 67], [512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 1024.0]]"
白蛾蛾落在哥哥怀,河曲县,"[[67, 67, 69, 72, 67, 69, 64, 62, 64, 64, 60, 57, 60, 62, 67, 72, 67, 69, 62, 67, 64, 62, 60, 57, 67, 64, 62, 55], [256.0, 512.0, 128.0, 128.0, 384.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 384.0, 128.0, 1024.0, 256.0, 512.0, 128.0, 128.0, 256.0, 512.0, 128.0, 128.0, 128.0, 128.0, 512.0, 128.0, 128.0, 1024.0]]"
隔墙的哥哥难捞探,宁武县,"[[74, 76, 74, 74, 76, 79, 72, 74, 79, 76, 79, 74, 72, 69, 74, 76, 74, 76, 76, 79, 69, 69, 74, 72, 69, 72, 72, 64, 62], [384.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 1024.0, 384.0, 128.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0]]"
想情人,河曲县,"[[74, 79, 69, 69, 74, 71, 69, 69, 69, 69, 67, 64, 62, 64, 60, 62, 74, 74, 79, 69, 69, 74, 71, 69, 69, 69, 69, 67, 64, 62, 64, 60, 62, 67], [384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 384.0, 128.0, 128.0, 128.0, 128.0, 128.0, 1024.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 384.0, 128.0, 128.0, 128.0, 128.0, 128.0, 1024.0]]"
黑夜里想你吹不灭个灯,宁武县,"[[74, 74, 69, 72, 74, 74, 76, 79, 79, 79, 81, 77, 76, 74, 72, 72, 74, 72, 71, 69, 67, 67, 69, 66, 67], [256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 512.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0]]"
只要妹妹你实心心想,河曲县,"[[74, 74, 76, 79, 72, 69, 67, 64, 62, 74, 79, 74, 72, 74, 69, 74, 74, 76, 79, 72, 69, 67, 69, 62, 74, 79, 74, 72, 69, 69, 67], [256.0, 512.0, 128.0, 128.0, 384.0, 128.0, 128.0, 128.0, 256.0, 384.0, 128.0, 256.0, 256.0, 256.0, 768.0, 256.0, 512.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 512.0, 384.0, 128.0, 128.0, 128.0, 256.0, 256.0, 768.0]]"
看亲亲,兴县,"[[72, 76, 74, 76, 81, 79, 76, 74, 72, 69, 64, 62, 72, 76, 74, 76, 81, 79, 76, 74, 72, 69, 64, 67], [256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 1024.0]]"
相亲相爱好到头,河曲县,"[[64, 69, 72, 76, 69, 67, 64, 72, 67, 64, 64, 69, 72, 76, 69, 67, 64, 67, 60, 57], [512.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 512.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0]]"
马里头挑马不一般高,离石县,"[[74, 74, 74, 76, 76, 69, 69, 74, 72, 69, 67, 74, 74, 76, 72, 69, 67, 72, 69, 67, 67, 64, 62], [256.0, 512.0, 256.0, 256.0, 768.0, 256.0, 512.0, 256.0, 384.0, 128.0, 512.0, 256.0, 512.0, 256.0, 384.0, 128.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 1024.0]]"
