name,location,music
问月歌,防城县,"[[64, 69, 64, 69, 72, 69, 64, 64, 64, 69, 64, 64, 64, 64, 57, 62, 67, 64, 62, 64, 67, 62, 64, 62, 64, 62, 64, 64, 69, 69, 69, 69, 69, 64, 64, 64, 57, 57, 57, 59, 62, 64, 64, 64, 64, 62, 67, 64, 62, 64, 64, 62, 57, 57, 62, 67, 64, 62, 64, 67, 62, 64, 62, 64, 62, 64, 69, 69, 72, 69, 67, 69, 57, 64, 64, 57, 57, 62, 62, 64, 62, 64, 64, 64, 62, 64, 62, 64, 64, 64, 67, 64, 62, 64, 57, 57, 59], [512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 768.0, 128.0, 128.0, 64.0, 64.0, 64.0, 64.0, 64.0, 64.0, 64.0, 64.0, 256.0, 1024.0, 512.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 512.0, 512.0, 512.0, 384.0, 128.0, 512.0, 256.0, 256.0, 128.0, 128.0, 64.0, 64.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 64.0, 64.0, 64.0, 64.0, 256.0, 64.0, 64.0, 64.0, 64.0, 256.0, 256.0, 256.0, 85.33333333333333, 85.33333333333333, 85.33333333333333, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 512.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 85.33333333333333, 85.33333333333333, 85.33333333333333, 85.33333333333333, 85.33333333333333, 85.33333333333333, 256.0, 768.0, 512.0]]"
送新娘,防城县,"[[74, 69, 67, 72, 74, 76, 74, 74, 74, 79, 79, 79, 81, 74, 76, 74, 72, 74, 76, 72, 72, 69, 72, 74, 76, 74, 79, 74, 72, 69, 67, 74, 74, 74, 74, 74, 79, 76, 74, 72, 74, 76, 74, 79, 74, 72, 69, 67, 74, 74, 79, 74, 72, 74, 76, 72, 74, 69, 67, 72, 74, 76, 74, 74, 74, 69, 79, 81, 74, 79, 74, 74, 72, 74, 76, 72, 72, 72, 67, 72, 74, 76, 76, 74, 79, 74, 72, 69, 67, 74, 74, 74, 74, 79, 76, 74, 72, 74, 76, 74, 79, 74, 72, 69, 67, 67, 59, 74, 79, 74, 72, 74, 76, 72, 72], [384.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 768.0, 128.0, 128.0, 256.0, 256.0, 512.0, 85.33333333333333, 85.33333333333333, 85.33333333333333, 768.0, 1024.0, 256.0, 128.0, 128.0, 512.0, 85.33333333333333, 85.33333333333333, 85.33333333333333, 85.33333333333333, 85.33333333333333, 85.33333333333333, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 1536.0, 384.0, 128.0, 512.0, 85.33333333333333, 85.33333333333333, 85.33333333333333, 85.33333333333333, 85.33333333333333, 85.33333333333333, 512.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 1536.0, 384.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 768.0, 256.0, 256.0, 256.0, 256.0, 256.0, 85.33333333333333, 85.33333333333333, 85.33333333333333, 256.0, 512.0, 1024.0, 85.33333333333333, 85.33333333333333, 85.33333333333333, 256.0, 512.0, 85.33333333333333, 85.33333333333333, 85.33333333333333, 85.33333333333333, 85.33333333333333, 85.33333333333333, 512.0, 512.0, 256.0, 128.0, 128.0, 512.0, 1536.0, 192.0, 64.0, 256.0, 64.0, 64.0, 64.0, 64.0, 128.0, 128.0, 256.0, 256.0, 192.0, 64.0, 256.0, 85.33333333333333, 85.33333333333333, 85.33333333333333, 256.0, 1024.0]]"
高粱煮甜酒,隆林县,"[[74, 69, 67, 69, 74, 72, 74, 69, 67, 69, 72, 67, 72, 72, 74, 67, 69, 67, 72, 74, 67, 67, 69, 67, 69, 67, 72, 67, 72, 72, 74, 67, 72, 67, 69, 67, 74, 69, 74, 67, 69, 67, 69, 67, 72, 69, 69, 67, 69, 67, 72, 67, 69, 69, 67, 72, 69, 72, 74, 67, 69, 72, 74, 67, 69, 67], [256.0, 128.0, 128.0, 256.0, 256.0, 1024.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 512.0, 1024.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 128.0, 128.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0]]"
我是莲藕在塘里,罗城县,"[[59, 59, 59, 59, 59, 64, 64, 62, 64, 62, 64, 62, 60, 60, 57, 55, 55, 57, 59, 57, 62, 57, 64, 64, 62, 64, 62, 60, 55, 57, 60, 62, 62, 62, 62, 62, 62, 60, 60, 55, 55, 55, 55, 59, 64, 64, 62, 64, 62, 60, 55, 55, 57, 60, 62, 62, 57, 62, 62, 62, 60, 62, 55, 55, 55, 55, 59, 60, 57, 55, 55, 55, 60, 57, 55, 57, 59, 57, 60, 62, 64, 62, 60, 57, 55, 57, 60, 62, 60, 62, 57, 55, 55, 55, 57, 57, 55, 55, 55, 59], [512.0, 512.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 512.0, 256.0, 1024.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 170.66666666666666, 170.66666666666666, 170.66666666666666, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 768.0, 256.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 768.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 512.0, 512.0, 512.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 1024.0, 1024.0, 256.0, 256.0, 512.0, 1024.0, 512.0, 512.0]]"
你的情意似深海,三江县,"[[64, 64, 62, 60, 57, 60, 62, 64, 60, 64, 62, 57, 60, 57, 60, 62, 60, 55, 57, 64, 62, 60, 64, 57, 64, 57, 60, 62, 57, 60, 57, 60, 62, 60, 55, 57, 59, 60, 62, 60, 57, 60, 64, 62, 64, 60, 64, 60, 55, 57, 60, 60, 62, 60, 57, 60, 57, 57, 57, 60, 62, 60, 57, 60, 62, 60, 55, 57, 59, 64, 62, 60, 57, 60, 60, 62, 64, 60, 55, 57, 60, 62, 57, 60, 62, 57, 60, 57, 55, 57], [256.0, 128.0, 128.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 768.0, 256.0, 128.0, 128.0, 384.0, 128.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 128.0, 128.0, 256.0, 512.0, 512.0, 256.0, 128.0, 128.0, 512.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 128.0, 128.0, 512.0]]"
当初什么世间传,龙胜县,"[[72, 72, 74, 72, 69, 69, 72, 67, 69, 69, 59, 74, 72, 69, 72, 74, 69, 72, 72, 74, 74, 69, 72, 81, 81, 71, 69, 72, 74, 72, 69, 72, 74, 72, 72, 72, 69, 69, 74, 72, 69, 69, 74, 74, 72, 69, 59, 69, 69, 69, 72, 74, 69, 74, 72, 74, 74, 72, 69, 69, 74, 72, 69, 59, 69, 72, 74, 72, 69, 72, 74, 69, 72, 69, 72, 74, 74, 72, 72, 72, 74, 69, 72, 69, 72, 74, 72, 69, 72, 67, 72, 72, 74, 74, 72, 69, 72, 67, 72, 72, 74, 74], [1024.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 128.0, 128.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 768.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0]]"
鱼网歌,三江县,"[[62, 64, 62, 64, 62, 60, 62, 64, 64, 64, 67, 67, 62, 57, 60, 62, 64, 62, 64, 64, 62, 60, 62, 64, 62, 60, 62, 60, 62, 62, 60, 57, 57, 59, 60, 62, 64, 62, 60, 62, 60, 62, 64, 64, 57, 60, 62, 64, 64, 62, 64, 62, 60, 55, 57, 59, 59, 64, 62, 64, 64, 62, 60, 57, 62, 57, 60, 62, 60, 62, 64, 62, 57, 60, 62, 67, 62, 64, 62, 57, 60, 59, 62, 62, 60, 57, 60, 57, 62, 62, 62, 64, 64, 62, 60, 62, 60, 59, 57, 62, 60, 57, 60, 60, 57, 60, 57, 60, 62, 64, 60, 62, 64, 62, 60, 57, 59, 64, 67, 64, 64, 62, 60, 62, 64, 60, 57, 62, 64, 62, 64, 64, 64, 62, 60, 62, 64, 60, 57, 60, 62, 57, 60, 62, 64, 62, 64, 57, 62, 64, 64, 62, 64, 62, 60, 55, 57], [256.0, 256.0, 256.0, 768.0, 256.0, 128.0, 128.0, 256.0, 768.0, 256.0, 512.0, 768.0, 512.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 512.0, 768.0, 256.0, 512.0, 128.0, 128.0, 256.0, 1536.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 1024.0, 512.0, 512.0, 128.0, 128.0, 256.0, 1024.0, 128.0, 128.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 512.0, 256.0, 512.0, 512.0, 512.0, 384.0, 128.0, 512.0, 128.0, 128.0, 256.0, 1024.0, 512.0, 384.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 1024.0, 1024.0, 512.0, 170.66666666666666, 170.66666666666666, 170.66666666666666, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 128.0, 128.0, 1024.0, 512.0, 768.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 768.0, 256.0, 768.0, 256.0, 768.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 768.0, 256.0, 256.0, 512.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 512.0, 512.0, 512.0, 512.0, 512.0, 1024.0, 256.0, 512.0, 256.0, 1536.0]]"
宝宝快快睡,大新县,"[[62, 62, 59, 62, 60, 69, 62, 60, 57, 57, 55, 55, 57, 60, 57, 55, 59, 52, 55, 60, 57, 62, 60, 57, 62, 60, 62, 60, 62, 60, 57, 60, 57, 55, 55, 57, 60, 57, 55], [2048.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 128.0, 128.0, 512.0, 512.0, 384.0, 128.0, 256.0, 256.0, 1536.0, 256.0, 256.0, 1536.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 512.0, 128.0, 128.0, 256.0, 512.0]]"
初会,靖西县,"[[72, 74, 76, 72, 74, 72, 69, 72, 74, 76, 74, 72, 69, 72, 69, 74, 76, 72, 69, 72, 69, 69, 72, 74, 76, 72, 74, 76, 69, 74, 72, 74, 76, 74, 72, 69, 72, 74, 76, 74, 72, 69, 72, 72], [256.0, 256.0, 768.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 768.0, 384.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 128.0, 128.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 1024.0, 1024.0]]"
大雨落纷纷,平果县,"[[76, 74, 76, 72, 74, 74, 67, 66, 69, 74, 72, 72, 59, 62, 69, 67, 69, 74, 72, 59, 69, 66, 69, 66, 69, 67, 67, 65, 62, 65, 62, 62, 62, 59], [512.0, 256.0, 512.0, 256.0, 768.0, 768.0, 512.0, 256.0, 512.0, 256.0, 768.0, 256.0, 256.0, 512.0, 256.0, 768.0, 256.0, 512.0, 512.0, 256.0, 512.0, 256.0, 512.0, 256.0, 512.0, 512.0, 512.0, 512.0, 512.0, 256.0, 768.0, 768.0, 256.0, 512.0]]"
