name,location,music
“妙根”好爷好亲人,苏州市,"[[74, 72, 69, 69, 74, 74, 72, 69, 67, 69, 72, 69, 69, 67, 67, 67, 69, 67, 69, 72, 72, 69, 69, 69, 72, 69, 67, 67, 64, 67, 74, 72, 69, 69, 72, 72, 69, 69, 67, 64, 72, 74, 74, 69, 69, 69, 72, 69, 69, 72, 69, 67, 64, 67, 59, 72, 69, 72, 69, 72, 69, 72, 69, 69, 67, 64, 74, 74, 74, 74, 69, 72, 69, 72, 69, 69, 67, 67, 69, 69, 67, 64, 67, 69, 72, 69, 67, 67, 64, 67, 62, 69, 74, 69, 72, 69, 67, 64, 67, 69, 59, 64, 67, 64, 69, 69, 69, 72, 72, 69, 69, 67, 67, 69, 67], [256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 170.66666666666666, 170.66666666666666, 170.66666666666666, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 1024.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 512.0, 128.0, 128.0, 256.0, 128.0, 256.0, 128.0, 256.0, 128.0, 128.0, 512.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 384.0, 128.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 384.0, 128.0, 128.0, 384.0, 128.0, 384.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 1024.0]]"
一只麻雀叫十声,丹徒县,"[[72, 72, 72, 74, 69, 72, 69, 67, 64, 72, 72, 72, 74, 69, 72, 69, 67, 64, 72, 72, 72, 72, 72, 72, 72, 74, 69, 72, 69, 67, 64, 64, 64, 64, 67, 69, 69, 72, 69, 67, 64, 67, 67, 69, 67, 64, 62, 60, 60, 57, 60, 60, 62, 64, 64, 67, 69, 69, 64, 67, 72, 72, 72, 72, 72, 74, 69, 72, 69, 67, 64, 64, 72, 69, 69, 67, 72, 69, 69, 67, 72, 69, 69, 67, 64, 64, 64, 67, 69, 69, 72, 69, 67, 64, 67, 67, 69, 67, 64, 64, 62, 60, 57, 60, 60, 67, 67, 67, 72, 69, 67, 64, 67, 64, 67, 64, 62, 60, 60, 60, 67, 67, 67, 60, 69, 67, 64, 67, 64, 67, 64, 62, 60, 60, 60, 67, 67, 67, 60, 69, 67, 64, 67, 64, 67, 64, 62, 60, 60, 60, 67, 67, 67, 60, 69, 67, 64, 67, 64, 67, 64, 62, 60, 60, 60, 67, 67, 67, 60, 69, 67, 64, 67, 64, 67, 64, 62, 60, 60, 60, 67, 67, 67, 60, 69, 67, 64, 67, 64, 67, 64, 62, 60, 60, 60, 67, 67, 67, 60, 69, 67, 64, 67, 64, 67, 64, 62, 60, 60, 60, 67, 67, 67, 60, 69, 67, 64, 67, 64, 67, 64, 62, 60, 60, 60, 67, 67, 67, 60, 69, 67, 64, 67, 64, 67, 64, 62, 60, 60, 60, 67, 67, 67, 60, 69, 67, 64, 67, 64, 64, 62, 60, 60, 59, 72, 72, 72, 72, 69, 69, 67, 64, 67, 64, 64, 64, 64, 67, 64, 64, 64, 67, 64, 64, 64, 64, 64, 64, 67, 64, 67, 64, 69, 69, 64, 67, 69, 64, 64, 64, 64, 67, 64, 67, 64, 67, 64, 67, 67, 67, 67, 69, 67, 52, 62, 60, 57, 60], [128.0, 128.0, 128.0, 128.0, 128.0, 64.0, 64.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 64.0, 64.0, 128.0, 128.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 64.0, 64.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 1024.0, 384.0, 128.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 192.0, 64.0, 128.0, 128.0, 256.0, 256.0, 128.0, 64.0, 64.0, 128.0, 128.0, 512.0, 192.0, 64.0, 128.0, 128.0, 192.0, 64.0, 128.0, 128.0, 192.0, 64.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 512.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 512.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 1024.0]]"
一寸光阴一寸金,昆山市,"[[67, 64, 62, 64, 67, 69, 59, 72, 69, 74, 72, 74, 72, 72, 59, 69, 69, 67, 69, 67, 64, 69, 69, 67, 69, 67, 69, 69, 64, 67, 69, 69, 67, 69, 67, 69, 69, 64, 67, 67, 69, 72, 69, 67, 64, 62, 62, 64, 67, 72, 69, 69, 67, 64, 62, 60, 60], [512.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 384.0, 128.0, 512.0, 128.0, 128.0, 512.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 512.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 128.0, 384.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 128.0, 384.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 1024.0, 384.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 1024.0]]"
一心参加八路军,睢宁县,"[[62, 62, 64, 62, 60, 62, 57, 62, 60, 62, 64, 62, 60, 62, 62, 64, 67, 64, 62, 60, 62, 64, 67, 62, 64, 62, 60, 62, 52, 55, 57, 60, 62, 55, 57, 60, 57, 55, 55, 52, 55, 57, 60, 55, 62, 64, 57, 60, 62, 62, 60, 62, 52, 55, 57, 60, 62, 55, 57, 60, 57, 55, 55, 52, 55, 57, 60, 55], [256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 1024.0, 256.0, 512.0, 256.0, 512.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 1024.0, 384.0, 128.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 1024.0]]"
一把芝麻撒上天(一),无锡市,"[[64, 67, 67, 72, 69, 72, 69, 69, 67, 67, 69, 72, 69, 72, 69, 67, 69, 72, 69, 67, 64, 67, 69, 64, 64, 67, 64, 64, 67, 69, 64, 64, 67, 64, 64, 64, 67, 67, 72, 69, 72, 69, 69, 67, 67, 69, 72, 69, 72, 72, 72, 69, 67, 64, 67, 69, 64, 64, 67, 64, 64, 67, 69, 64, 64, 67, 64, 64], [256.0, 768.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 128.0, 128.0, 256.0, 512.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 384.0, 128.0, 128.0, 128.0, 256.0, 512.0, 512.0, 384.0, 128.0, 128.0, 128.0, 256.0, 512.0, 256.0, 768.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 128.0, 128.0, 256.0, 768.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 384.0, 128.0, 128.0, 128.0, 256.0, 512.0, 512.0, 384.0, 128.0, 128.0, 128.0, 256.0, 512.0]]"
一更月儿照花台,新沂市,"[[74, 69, 72, 74, 71, 69, 67, 69, 72, 72, 59, 74, 71, 69, 67, 69, 72, 74, 76, 76, 79, 76, 74, 76, 71, 76, 79, 69, 72, 72, 74, 71, 69, 67, 64, 72, 59, 72, 69, 71, 69, 67, 69, 69, 72, 69, 67, 69, 69, 67, 64, 67, 69, 72, 74, 69, 71, 69, 67, 64, 69, 69, 72, 64, 62, 64, 62, 60], [256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 512.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 384.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 384.0, 128.0, 512.0]]"
一根丝线牵过河,江都市,"[[67, 69, 72, 69, 67, 64, 67, 67, 69, 72, 69, 67, 67, 69, 64, 60, 62, 62, 67, 69, 67, 64, 62, 64, 62, 60, 57, 69, 67, 64, 67, 72, 69, 67, 64, 62, 60, 60, 64, 67, 62, 57, 57, 62, 60, 62, 60, 57, 55, 67, 69, 72, 74, 72, 69, 69, 67, 64, 67, 67, 67, 69, 72, 69, 67, 67, 69, 64, 60, 62, 62, 67, 69, 67, 64, 62, 64, 62, 60, 57, 69, 67, 64, 67, 72, 69, 67, 64, 62, 60, 60, 64, 67, 62, 57, 57, 62, 60, 62, 60, 57, 55], [512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 1536.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 1536.0, 128.0, 128.0, 256.0, 768.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 256.0, 512.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 1024.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 1024.0, 1024.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 1536.0, 128.0, 128.0, 256.0, 768.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 256.0, 512.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 1024.0]]"
一棵小树不成林,金坛市,"[[69, 79, 76, 74, 76, 74, 72, 69, 69, 69, 69, 72, 76, 79, 76, 74, 76, 74, 74, 72, 69, 67, 64, 67, 60, 72, 74, 72, 69, 67, 64, 64, 64, 64, 67, 69, 69, 67, 64, 67, 67, 69, 72, 74, 72, 74, 74, 72, 69, 67, 64, 67, 69, 72, 74, 72, 69, 67, 64], [256.0, 256.0, 256.0, 256.0, 512.0, 384.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 768.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 384.0, 128.0, 384.0, 128.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 512.0, 384.0, 128.0, 512.0, 512.0, 256.0, 256.0, 512.0, 256.0, 768.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 384.0, 128.0, 384.0, 128.0, 1024.0]]"
一粒下土一棵秧,高淳县,"[[64, 64, 64, 67, 76, 76, 74, 72, 72, 69, 67, 69, 67, 64, 69, 72, 72, 69, 69, 72, 67, 69, 67, 64, 64, 64, 64, 64, 67, 76, 76, 76, 74, 72, 72, 69, 67, 69, 67, 64, 72, 64, 72, 74, 72, 67, 69, 67, 64, 64], [256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 768.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 768.0, 512.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0]]"
一绣京江城,盐城市,"[[69, 69, 67, 64, 67, 69, 72, 64, 67, 69, 72, 74, 76, 74, 72, 69, 72, 72, 69, 67, 69, 72, 74, 72, 69, 69, 72, 69, 67, 64, 67], [256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 768.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 768.0, 256.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 1024.0]]"
