name,location,music
回民哭丧调,泊头市,"[[72, 72, 67, 72, 69, 72, 69, 67, 69, 72, 69, 67, 67, 64, 67, 67, 59, 69, 69, 67, 69, 67, 67, 64, 67, 67, 59, 67, 69, 72, 69, 67, 67, 64, 62, 60, 57, 59, 62, 62, 64, 67, 67, 64, 62, 60, 60, 57, 62, 64, 64, 67, 64, 67, 64, 62, 60, 57, 59, 60, 60, 59, 59, 69, 64, 67, 67, 67, 69, 72, 69, 67, 67, 64, 62, 59, 60, 62, 64, 67, 64, 62, 60, 62, 64, 62, 60, 60, 60, 62, 64, 64, 67, 64, 62, 60, 60, 59, 59, 59, 67, 64, 67, 67, 67, 69, 72, 69, 67, 67, 59, 67, 67, 67, 69, 69, 67, 69, 67, 67, 59, 67, 69, 67, 69, 72, 67, 67, 59, 67, 67, 67, 69, 72, 67, 64, 64, 62, 64, 62, 60, 60, 60, 60, 60, 57, 60, 60, 72, 72, 67, 72, 69, 72, 69, 67, 69, 69, 64, 67, 64, 67, 64, 67, 67, 67, 69, 72, 69, 67, 64, 62, 64, 67, 64, 62, 62, 60, 60, 60, 57, 60, 60], [512.0, 1024.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 1024.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 1024.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 1024.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 1536.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 512.0, 1024.0, 512.0, 1024.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 512.0, 1024.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 1024.0]]"
嘀得多嘀得少,固安县,"[[72, 69, 72, 72, 69, 67, 72, 72, 69, 72, 67, 69, 67, 67, 72, 67, 69, 72, 69, 72, 72, 69, 67, 69, 67, 59], [256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0]]"
小白菜（四）,赞皇县,"[[69, 67, 69, 67, 64, 62, 64, 67, 64, 62, 64, 62, 60, 64, 62, 64, 67, 64, 62, 64, 62, 59, 64, 62, 60, 62, 60, 57, 55], [512.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 768.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0]]"
两夯加三夯（石夯号）,遵化县,"[[69, 69, 69, 72, 69, 67, 65, 67, 69, 69, 72, 69, 64, 67, 69, 67, 67, 64, 67, 64, 67, 69, 65, 64, 62, 67, 64, 62, 67, 64, 60, 62, 67, 64, 67, 64, 67, 69, 64, 62, 60, 67, 67, 67, 57, 60, 62, 60, 62, 60, 62, 60, 67, 67, 67, 57, 60, 62, 60, 60], [1024.0, 256.0, 128.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 512.0, 384.0, 128.0, 256.0, 256.0, 512.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 384.0, 128.0, 512.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 384.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 1024.0]]"
剁板号（内河渔号）,安新县,"[[69, 69, 69, 69, 67, 67, 64, 69, 59, 69, 67, 64, 69, 59, 69, 67, 64, 69, 59, 69, 69, 69, 67, 69, 59, 69, 69, 67, 64, 67, 69, 69, 67, 69, 69, 67, 69, 59, 69, 67, 64, 69, 59, 57, 60, 62, 62, 60, 57, 62, 67, 67, 69, 67, 64, 64, 67, 69, 67, 64, 64, 69, 69, 69, 67, 64, 72, 72, 69, 67, 64, 67, 62, 62, 62, 60, 57, 62, 62, 62, 60, 57, 62, 62, 62, 60, 57, 62, 60, 57, 62, 60, 57, 62, 67, 67, 69, 67, 64, 64, 67, 69, 67, 64, 64, 69, 69, 69, 67, 64, 72, 69, 67, 64, 67, 62, 62, 62, 60, 57, 62, 62, 64, 72, 59, 64, 59, 69, 59, 69, 59, 69, 59, 67, 59, 69, 59, 69, 67, 69, 67, 64, 67, 62, 62, 62, 62, 60, 57, 62, 62, 69, 69, 69, 67, 64, 72, 72, 69, 67, 64, 67, 62, 62, 62, 60, 57, 62, 62, 62, 60, 57, 62, 62, 62, 60, 57, 62, 60, 57, 62, 60, 57, 62, 69, 69, 69, 67, 64, 59, 67, 69, 67, 64, 59, 69, 69, 69, 67, 64, 72, 69, 67, 64, 67, 62, 62, 60, 57, 62, 62, 62, 60, 57, 62, 62, 62, 60, 57, 62, 60, 57, 62, 60, 57, 62], [384.0, 128.0, 128.0, 128.0, 256.0, 768.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 384.0, 128.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 768.0, 256.0, 1024.0, 512.0, 256.0, 256.0, 1024.0, 384.0, 128.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 384.0, 128.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 1024.0]]"
十八扯（夯号·传夯号子）,景县,"[[62, 59, 57, 59, 62, 62, 64, 67, 69, 64, 62, 67, 67, 69, 64, 67, 69, 64, 62, 67, 64, 62, 64, 62, 60, 62, 64, 62, 60, 57, 60, 62, 57, 60], [128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 512.0, 512.0, 256.0, 256.0, 384.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 512.0]]"
大燕窝（夯号）,东光县,"[[69, 72, 69, 69, 68, 69, 72, 64, 67, 69, 72, 69, 69, 72, 69, 69, 72, 64, 72, 69, 72, 69, 69, 69, 72, 69, 72, 67, 67, 64, 72, 72, 74, 69, 67, 69, 69, 67, 67, 64, 64, 62, 64, 67, 67, 72, 69, 72, 67, 67, 64, 62, 60, 62, 67, 69, 67, 69, 72, 74, 64, 62, 60, 67, 64, 62, 60, 62, 67, 64, 62, 60, 60, 67, 67, 67, 67, 67, 72, 72, 69, 72, 64, 67, 64, 67, 64, 62, 62, 74, 72, 72, 74, 69, 67, 69, 72, 67, 67, 59, 64, 64, 62, 64, 67, 67, 72, 69, 72, 67, 64, 62, 60, 62, 59, 59], [256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 512.0, 384.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 768.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 384.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0]]"
打桩歌（夯号）,冀中,"[[64, 67, 69, 67, 64, 67, 60, 62, 64, 67, 64, 62, 64, 67, 69, 67, 64, 67, 57, 62, 60, 60, 62, 62, 55, 62, 62, 55, 62, 62, 62, 55, 59, 62, 67, 62, 67, 67, 64, 60, 62, 64, 62, 62, 67, 67, 67, 62, 67, 67, 67, 57, 62, 60, 62, 62, 67, 64, 62, 62, 59, 57, 57, 62, 57, 55, 59], [512.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 512.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 1024.0, 1024.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 512.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0]]"
拉大件（搬运号子）,滦县,"[[69, 67, 67, 67, 67, 64, 64, 64, 67, 64, 62, 64, 67, 69, 69, 65, 64, 62, 67, 69, 67, 69, 67, 64, 62, 67, 67, 62, 60, 64, 64, 62, 64, 67, 69, 69, 74, 72, 69, 67, 67, 64, 64, 62, 64, 67, 69, 69, 65, 64, 62, 67, 67, 67, 67, 67, 67, 67, 62, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 67, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59], [512.0, 256.0, 256.0, 512.0, 512.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 512.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 512.0, 512.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 768.0]]"
拉帆号（内河船号）,临西县,"[[67, 67, 62, 67, 67, 62, 67, 67, 71, 69, 67, 71, 69, 71, 69, 67, 69, 62, 64, 67, 64, 67, 67, 62, 67, 67, 71, 69, 67, 71, 69, 71, 69, 67, 62, 69, 62, 64, 67, 64, 67, 67, 62, 67, 67, 71, 69, 67, 71, 69, 71, 69, 67], [1024.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 1024.0, 1024.0, 512.0, 512.0, 384.0, 128.0, 256.0, 256.0, 1024.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 1024.0, 1024.0, 512.0, 512.0, 384.0, 128.0, 256.0, 256.0, 768.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 1024.0, 1024.0, 512.0, 512.0, 384.0, 128.0, 256.0, 256.0, 1024.0]]"
