name,location,music
资水船工号子（摇橹）,新邵县,"[[67, 71, 64, 59, 59, 59, 59, 72, 71, 59, 59, 59, 67, 71, 72, 67, 59, 71, 67, 71, 71, 72, 67, 71, 64, 59, 59, 59, 71, 71, 71, 71, 72, 72, 59, 59, 59, 67, 71, 72, 67, 59, 72, 72, 59, 59, 59, 71, 71, 71, 71, 72, 72, 59, 59, 59, 67, 71, 72, 67, 59, 71, 71, 71, 71, 72, 72, 59, 59, 59, 76, 72, 76, 72, 72, 59, 59, 59, 72, 72, 59, 59, 59, 72, 72, 59, 59, 71, 71, 71, 71, 72, 67, 59, 71, 71, 71, 71, 72, 67, 72, 67, 64, 59, 59, 59], [512.0, 128.0, 256.0, 128.0, 512.0, 512.0, 512.0, 384.0, 128.0, 512.0, 512.0, 512.0, 128.0, 128.0, 768.0, 512.0, 512.0, 128.0, 128.0, 128.0, 128.0, 384.0, 128.0, 256.0, 256.0, 512.0, 512.0, 512.0, 128.0, 128.0, 128.0, 128.0, 512.0, 512.0, 512.0, 512.0, 512.0, 128.0, 128.0, 768.0, 512.0, 512.0, 384.0, 128.0, 512.0, 512.0, 512.0, 128.0, 128.0, 128.0, 128.0, 512.0, 512.0, 512.0, 512.0, 512.0, 128.0, 128.0, 768.0, 512.0, 512.0, 128.0, 128.0, 128.0, 128.0, 512.0, 512.0, 512.0, 512.0, 512.0, 256.0, 128.0, 128.0, 512.0, 512.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 128.0, 128.0, 128.0, 128.0, 512.0, 512.0, 512.0, 128.0, 128.0, 128.0, 128.0, 384.0, 128.0, 256.0, 128.0, 128.0, 512.0, 512.0, 512.0]]"
搬运号子,岳阳市,"[[67, 64, 60, 62, 64, 62, 60, 59, 59, 62, 57, 60, 57, 60, 62, 57, 60, 59, 59, 67, 64, 60, 62, 64, 62, 60, 59, 59, 60, 62, 60, 59, 59, 59, 59, 59, 59, 60, 62, 60, 59, 59, 59, 59, 59, 59], [256.0, 128.0, 128.0, 192.0, 64.0, 128.0, 128.0, 512.0, 512.0, 128.0, 128.0, 85.33333333333333, 85.33333333333333, 85.33333333333333, 128.0, 128.0, 256.0, 512.0, 512.0, 256.0, 128.0, 128.0, 192.0, 64.0, 128.0, 128.0, 512.0, 512.0, 256.0, 128.0, 128.0, 128.0, 128.0, 64.0, 192.0, 512.0, 512.0, 256.0, 128.0, 128.0, 128.0, 128.0, 64.0, 192.0, 512.0, 512.0]]"
搬运号子,安乡县,"[[64, 64, 62, 62, 62, 64, 67, 72, 69, 67, 64, 62, 62, 64, 62, 67, 62, 67, 64, 69, 67, 60, 62, 60, 62], [256.0, 256.0, 256.0, 256.0, 192.0, 64.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 192.0, 64.0, 256.0, 192.0, 64.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0]]"
打硪歌,临湘县,"[[79, 76, 76, 76, 76, 76, 76, 76, 76, 72, 74, 72, 76, 72, 72, 76, 69, 72, 67, 67, 67, 69, 72, 69, 72, 76, 72, 72, 76, 67, 69, 67, 69, 72, 76, 69, 72, 69, 69, 72, 76, 69, 72, 69, 72, 69, 72, 67, 69, 72, 69, 72], [128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 192.0, 64.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0]]"
打硪号子,津市市,"[[69, 76, 74, 76, 74, 72, 69, 72, 74, 72, 69, 72, 69, 69, 72, 69, 67, 64, 72, 69, 69, 64, 67, 67, 74, 72, 74, 76, 74, 76, 69, 72, 74, 72, 72, 69, 67, 69, 72, 69, 72, 72, 69, 64, 67, 74, 76, 72, 74, 76, 74, 69, 76, 74, 72, 72, 69, 67, 72, 69, 72, 72, 69, 64, 67], [256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 512.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 384.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0]]"
打硪号子,临澧县,"[[79, 79, 76, 74, 69, 72, 72, 72, 69, 74, 76, 79, 76, 74, 76, 72, 74, 69, 72, 69, 76, 74, 72, 69, 72, 69, 72, 72, 69, 76, 74, 72, 69, 72, 74, 69, 67, 67, 69, 67, 69, 64, 67, 67], [256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 512.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 512.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 512.0, 384.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0]]"
打硪歌,长沙县,"[[64, 64, 67, 69, 72, 67, 67, 64, 67, 67, 67, 69, 67, 64, 62, 60, 62, 60, 62, 60, 57, 67, 64, 67, 67, 64, 64, 60, 64, 67, 62, 57, 60, 60, 60, 62, 60, 57, 67, 64, 67, 67, 72, 69, 67, 62, 60, 62, 64, 64, 67, 69, 72, 72, 69, 67, 67, 67, 67, 69, 67, 64, 62, 60, 62, 60, 62, 60, 57, 67, 64, 67, 67, 64, 64, 57, 60, 64, 64, 62, 60, 60, 60, 62, 60, 57, 67, 64, 67, 67, 72, 69, 67, 62, 60, 62], [256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 384.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 384.0, 128.0, 512.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 384.0, 128.0, 256.0, 256.0, 384.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 384.0, 128.0, 512.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0]]"
打硪号子,衡东县,"[[69, 69, 64, 64, 69, 72, 67, 60, 64, 57, 64, 60, 55, 57, 55, 60, 60, 57, 55, 55, 57, 64, 57, 60, 60, 67, 60, 60, 60, 55, 57, 52, 55, 60, 57, 55, 57, 52, 55], [384.0, 128.0, 256.0, 256.0, 384.0, 128.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 384.0, 128.0, 512.0, 384.0, 128.0, 512.0]]"
上丘打秧下丘栽,新宁县,"[[69, 69, 64, 69, 69, 69, 69, 76, 74, 72, 69, 72, 74, 72, 69, 69, 72, 74, 69, 64, 67, 69, 64, 69, 69, 69, 69, 76, 74, 72, 69, 72, 74, 69, 72, 69, 69, 72, 74, 69, 64], [128.0, 128.0, 256.0, 128.0, 384.0, 128.0, 128.0, 768.0, 256.0, 256.0, 128.0, 384.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 768.0, 512.0, 42.666666666666664, 42.666666666666664, 42.666666666666664, 128.0, 384.0, 128.0, 128.0, 768.0, 256.0, 256.0, 256.0, 128.0, 128.0, 42.666666666666664, 42.666666666666664, 42.666666666666664, 42.666666666666664, 42.666666666666664, 42.666666666666664, 512.0, 512.0]]"
要我唱歌我不难,常德县,"[[69, 72, 69, 67, 69, 72, 69, 72, 76, 76, 72, 69, 69, 74, 72, 69, 67, 67, 69, 69, 69, 72, 72, 69, 72, 72, 69, 72, 67, 69, 67, 72, 69, 69, 72, 67, 69, 72, 69, 67, 69, 72, 69, 67, 69, 72, 69, 69, 72, 69, 72, 69, 67, 69, 67, 69, 76, 72, 76, 72, 69, 67, 69, 72, 69, 67, 69, 72, 72, 72, 76, 67, 69, 72, 72, 69], [256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 1024.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 768.0, 256.0, 256.0, 128.0, 128.0, 512.0, 1024.0, 256.0, 256.0, 512.0, 256.0, 768.0, 256.0, 256.0, 128.0, 128.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 768.0, 256.0, 768.0, 256.0, 256.0, 256.0, 768.0, 128.0, 128.0, 1024.0, 128.0, 128.0, 768.0, 256.0, 768.0]]"
