name,location,music
一丛松柏开叉叉,厦门市,"[[62, 64, 60, 62, 55, 60, 62, 62, 64, 60, 62, 60, 60, 62, 57, 62, 60, 60, 55, 62, 60, 55, 55, 60, 62, 64, 62, 60, 62], [256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 768.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0]]"
一把白扇新又新,闽清县,"[[72, 69, 69, 72, 67, 69, 72, 72, 74, 69, 72, 74, 69, 72, 72, 72, 67, 69, 67, 72, 69, 72, 69, 67, 67, 72, 72, 67, 72, 69, 72, 69, 69, 67, 69, 67], [128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 512.0]]"
下象棋,福州市,"[[69, 67, 64, 62, 67, 69, 72, 74, 76, 72, 72, 74, 76, 74, 76, 74, 72, 69, 67, 64, 62, 64, 67, 72, 69, 67, 72, 69, 67, 64, 67, 69, 72, 67, 67, 62, 62, 64, 67, 72, 69, 62, 64, 67, 64, 62, 60], [256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 384.0, 128.0, 512.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 1024.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0]]"
买花钱,蒲城县,"[[69, 72, 69, 69, 72, 74, 76, 74, 59, 72, 76, 74, 72, 69, 67, 69, 67, 59, 74, 67, 69, 72, 72, 69, 67, 69, 64, 59, 67, 69, 72, 69, 67, 69, 67, 59, 69, 72, 69, 69, 67, 74, 76, 74, 72, 76, 74, 72, 69, 67, 69, 67, 59, 62, 67, 69, 72, 72, 69, 67, 69, 64, 59, 67, 69, 72, 69, 67, 69, 67, 59, 69, 72, 69, 69, 72, 74, 76, 74, 72, 76, 74, 72, 69, 67, 69, 67, 59, 74, 67, 69, 72, 72, 69, 67, 69, 64, 59, 67, 69, 72, 69, 67, 69, 67, 59], [256.0, 128.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 384.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 384.0, 128.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 384.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 384.0, 128.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 384.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0, 384.0, 128.0, 256.0, 256.0]]"
五月里来艳阳天,宁德市,"[[64, 57, 60, 60, 60, 62, 59, 57, 57, 60, 60, 64, 67, 64, 62, 60, 60, 60, 62, 59, 57, 57, 60, 60, 69, 67, 69, 64, 67, 57, 60, 60, 60, 62, 59, 57, 57, 60, 60, 64, 67, 69, 69, 67, 64, 67, 64, 62, 62, 60, 62, 64, 67, 67, 57, 60, 60, 60, 62, 59, 57, 57, 60, 60], [512.0, 512.0, 512.0, 512.0, 128.0, 128.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 128.0, 128.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 128.0, 128.0, 256.0, 256.0, 256.0, 512.0, 512.0, 512.0, 512.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 512.0, 768.0, 256.0, 512.0, 512.0, 512.0, 512.0, 512.0, 512.0, 128.0, 128.0, 256.0, 256.0, 256.0, 512.0, 512.0]]"
你去惕得人疼,永安市,"[[60, 57, 52, 59, 57, 57, 60, 62, 60, 57, 60, 60, 57, 57, 57, 60, 60, 60, 60, 57, 60, 60, 57, 57, 60, 57, 57, 62, 60, 60, 57, 57, 57, 57, 62, 57, 57, 57, 60, 62, 60, 57, 60, 60, 57, 57, 57, 57, 60, 62, 60, 57, 57, 60, 57, 57, 60, 62, 60, 57, 57, 57, 60, 57, 57, 57, 60, 62, 62, 59, 62, 60, 57, 57, 57, 57, 62, 62, 57, 57, 60, 62, 60, 69, 60, 57, 57, 62, 60, 57, 60, 57, 57, 62, 60, 57, 60, 57, 57, 57, 57, 57, 62, 60, 57, 57, 62, 60, 57, 60, 57, 57, 60, 62, 57, 60, 60, 57, 57, 57, 57, 60, 57, 60, 57, 60, 57, 57, 62, 60, 57, 60, 57, 57, 60, 60, 57, 60, 48, 69, 60, 57, 57, 57, 60, 62, 60, 57, 64, 57, 60, 60, 57, 57, 62, 60, 62, 60, 57, 60, 57, 60, 57, 57, 60, 62, 57, 62, 60, 57, 60, 57, 60, 60, 57, 57, 60, 62, 60, 60, 57, 60, 57, 57, 60, 62, 60, 57, 60, 57, 57, 57, 60, 62, 60, 57, 52, 60, 62, 62, 60, 62, 60, 57, 57, 60, 62, 62, 57, 62, 60, 57, 60, 60, 57, 57, 57, 62, 60, 57, 60, 57, 57, 60, 62, 60, 57, 60, 57, 60, 57, 60, 62, 60, 57, 60, 57, 60, 59, 57, 57, 60, 62, 60, 57, 60, 57, 57, 62, 62, 57, 62, 60, 60, 57, 57, 57, 62, 62, 57, 62, 60, 60, 57, 57, 57, 57, 60, 62, 60, 57, 60, 57, 57, 57, 62, 60, 57, 60, 60, 60, 57, 60, 62, 60, 57, 60, 57, 57, 60, 62, 60, 57, 57, 62, 62, 60, 62, 60, 57, 60, 57, 57, 57, 60, 62, 60, 57, 57, 62, 60, 57, 60, 57, 57, 57, 62, 62, 60, 57, 57, 60, 57, 57, 57, 62, 60, 57, 57, 62, 60, 57, 57, 57, 60, 62, 60, 62, 60, 57, 57, 60, 62, 57, 57, 62, 60, 57, 60, 57, 57, 60, 62, 60, 57, 62, 60, 57, 60, 57, 57, 60, 62, 60, 57, 60, 57, 57, 60, 62, 60, 57, 60, 57, 57, 60, 62, 60, 60, 60, 57, 60, 57], [512.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 384.0, 128.0, 384.0, 768.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 512.0, 128.0, 256.0, 128.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 768.0, 256.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 768.0, 256.0, 128.0, 384.0, 128.0, 384.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 384.0, 256.0, 128.0, 128.0, 256.0, 256.0, 1024.0, 128.0, 128.0, 256.0, 128.0, 384.0, 512.0, 1024.0, 128.0, 128.0, 128.0, 128.0, 128.0, 384.0, 128.0, 128.0, 128.0, 128.0, 128.0, 384.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 512.0, 128.0, 128.0, 256.0, 256.0, 128.0, 384.0, 128.0, 384.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 128.0, 128.0, 128.0, 128.0, 256.0, 768.0, 512.0, 256.0, 256.0, 128.0, 384.0, 128.0, 384.0, 256.0, 768.0, 128.0, 128.0, 128.0, 128.0, 128.0, 384.0, 128.0, 128.0, 256.0, 256.0, 768.0, 128.0, 128.0, 128.0, 128.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 512.0, 128.0, 384.0, 256.0, 256.0, 128.0, 384.0, 512.0, 1024.0, 256.0, 256.0, 512.0, 128.0, 128.0, 128.0, 128.0, 128.0, 384.0, 128.0, 384.0, 512.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 256.0, 256.0, 128.0, 384.0, 128.0, 128.0, 256.0, 128.0, 256.0, 128.0, 128.0, 384.0, 128.0, 384.0, 1024.0, 128.0, 256.0, 128.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 768.0, 256.0, 128.0, 384.0, 128.0, 384.0, 128.0, 256.0, 128.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 1024.0, 128.0, 128.0, 256.0, 128.0, 384.0, 128.0, 384.0, 128.0, 128.0, 256.0, 128.0, 384.0, 128.0, 128.0, 128.0, 128.0, 512.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 384.0, 128.0, 128.0, 384.0, 128.0, 384.0, 128.0, 256.0, 128.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 768.0, 256.0, 128.0, 384.0, 128.0, 384.0, 128.0, 256.0, 128.0, 128.0, 384.0, 128.0, 384.0, 128.0, 128.0, 256.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 256.0, 256.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 256.0, 128.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 256.0, 128.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 128.0, 128.0, 128.0, 128.0, 384.0, 128.0, 256.0, 128.0, 128.0, 384.0, 128.0, 128.0, 256.0, 128.0, 384.0, 128.0, 384.0, 128.0, 128.0, 128.0, 128.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 128.0, 256.0, 128.0, 384.0, 128.0, 384.0, 128.0, 128.0, 128.0, 128.0, 128.0, 384.0, 768.0, 256.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0, 128.0, 384.0]]"
你娘来到我郎楼,柘荣县,"[[69, 67, 72, 72, 72, 72, 72, 69, 67, 64, 69, 67, 64, 62, 60, 62, 60, 57, 59, 57, 57, 57, 57, 60, 60, 64, 67, 69, 67, 64, 62, 60, 64, 62, 59, 67, 64, 64, 67, 72, 72, 69, 67, 62, 64, 67, 62, 64, 62, 60, 62, 60, 57, 59, 60, 57, 57, 57, 59, 64, 62, 60, 67, 69, 67, 64, 62, 64, 60, 64, 62, 60, 57, 59], [256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 768.0, 256.0, 512.0, 256.0, 256.0, 128.0, 128.0, 256.0, 512.0, 128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0, 512.0, 256.0, 512.0, 256.0, 256.0, 512.0, 512.0, 256.0, 512.0, 256.0, 512.0, 256.0, 512.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 512.0, 128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 512.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 128.0, 128.0, 256.0]]"
你着共人有缘共有份,南安县,"[[67, 64, 67, 64, 60, 60, 64, 57, 57, 57, 60, 64, 60, 60, 64, 64, 60, 57, 60, 60, 59, 60, 64, 60, 64, 60, 60, 59, 64, 67, 64, 60, 60, 64, 64, 64, 60, 64, 60, 60, 57, 60, 60, 59, 60, 60, 60, 60, 64, 64, 60, 57, 60, 64, 59, 64, 64, 67, 64, 64, 60, 60, 64, 60, 60, 64, 64, 60, 60, 64, 64, 57, 57, 57, 60, 60, 64, 60, 57, 64, 64, 67, 64, 64, 60, 64, 64, 60, 60, 57, 57, 57, 60, 57, 60, 57, 59, 64, 64, 67, 64, 60, 60, 60, 60, 64, 64, 57, 57, 57, 59, 60, 60, 64, 67, 60, 60, 57, 60, 64, 64, 64, 60, 57, 57, 57, 59, 60, 60, 64, 60, 60, 57, 60, 60, 60, 60, 64, 64, 57, 60, 57, 59, 64, 64, 67, 64, 60, 64, 57, 60, 57, 60, 60, 64, 60, 60, 60, 60, 64, 60, 60, 59], [256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 768.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 768.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 512.0]]"
做人媳妇万般难,泰宁县,"[[60, 57, 62, 60, 57, 57, 60, 57, 60, 62, 57, 60, 62, 60, 60, 60, 57, 60, 57, 62, 60, 62, 62, 60, 57, 60, 57, 57, 60, 60, 62, 60, 60, 64, 60, 60, 57, 57, 60, 62, 62, 60, 60, 60, 62, 60, 57, 60, 62, 60, 57, 62, 60, 60, 62, 60, 57, 60, 62, 62, 62, 60, 60, 62, 60, 60, 62, 64, 62, 64, 62, 57, 60, 60, 60, 64, 62, 62, 64, 60, 62, 60, 60, 57, 60, 62, 60, 60, 62, 60, 57, 60, 57, 60, 57, 60, 57, 60, 60, 60, 62, 60, 60, 60, 57, 60, 60, 57, 60, 60, 60, 57, 60, 57, 57, 60, 57, 64, 62, 60, 57, 60, 57, 57, 60, 62, 60, 57, 60, 57, 62, 62, 60, 57, 60, 57, 57, 57, 60, 62, 60, 60, 57, 62, 62, 62, 60, 57, 60, 57, 57, 57, 60, 57, 57, 60, 57, 62, 62, 60, 57, 60, 60, 57, 57, 60, 62, 60], [256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 128.0, 128.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 128.0, 128.0, 128.0, 384.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 128.0, 128.0, 256.0, 128.0, 128.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 512.0]]"
共产党像太阳,寿宁县,"[[64, 62, 64, 62, 62, 64, 60, 60, 57, 62, 62, 60, 64, 62, 60, 60, 57, 62, 60, 57, 62, 60, 57, 62, 64, 62, 64, 60, 60, 57, 62, 60, 57, 60, 55, 57, 57, 60, 55], [256.0, 256.0, 512.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 512.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 512.0, 256.0, 256.0, 256.0, 256.0, 256.0, 256.0, 1024.0, 512.0, 256.0, 256.0, 1024.0]]"
