name,province,location,scale,mode,concent,twist,beat_convert,beat_average,0,1,2,3,4,5,6,7,8,9,10,11,12
打夯歌（五）,号子,集宁市,六声,徵调,0.5049418604651168,4.400143219646834,0.4486118396170883,2.8852459016393444,0.0,0.08196721311475409,0.0,0.09836065573770492,0.0,0.23770491803278687,0.0,0.0,0.3360655737704918,0.0,0.22950819672131148,0.0,0.01639344262295082
抬木号子（五）,号子,鄂尔古纳左旗根河,,宫调,0.44623786407766974,6.998501371851103,0.7228145941387736,2.4615384615384617,0.14646464646464646,0.11616161616161616,0.015151515151515152,0.06060606060606061,0.0,0.005050505050505051,0.0,0.030303030303030304,0.3383838383838384,0.005050505050505051,0.2828282828282828,0.0,0.0
一心二想眊妈妈,小调,土默特左旗；土默特右旗,六声,商调,0.33910256410256406,3.22597643643859,0.6224322252261687,2.711864406779661,0.0,0.11864406779661017,0.0,0.1864406779661017,0.0,0.1016949152542373,0.06779661016949153,0.0,0.2711864406779661,0.0,0.2542372881355932,0.0,0.0
二女踩青,小调,土默特左旗；土默特右旗,五声,商调,0.38387096774193535,2.741762859100991,0.7796859343671655,1.7297297297297298,0.0,0.1891891891891892,0.0,0.40540540540540543,0.0,0.13513513513513514,0.0,0.0,0.08108108108108109,0.0,0.1891891891891892,0.0,0.0
你妈妈打你哥该咋,小调,巴彦淖尔盟,六声,徵调,0.3612903225806452,2.0470689911927584,1.066856875944473,2.206896551724138,0.0,0.10344827586206896,0.0,0.13793103448275862,0.0,0.27586206896551724,0.0,0.0,0.1724137931034483,0.0,0.27586206896551724,0.0,0.034482758620689655
共产党领导咱当了家,小调,准格尔旗,五声,徵调,0.3451612903225805,2.769930872675632,0.9124250825410269,1.7777777777777777,0.0,0.2777777777777778,0.0,0.16666666666666666,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0
割红缎（码头调）,小调,武川县,五声,宫调,0.3214723926380365,4.652086079245462,0.47168486843448093,2.394160583941606,0.0,0.12408759124087591,0.0,0.043795620437956206,0.0,0.26277372262773724,0.0,0.0,0.35766423357664234,0.0,0.2116788321167883,0.0,0.0
十爱花,小调,武川县,五声,宫调,0.31210191082802546,3.1311500509671393,0.5614573670368926,2.4615384615384617,0.029850746268656716,0.11940298507462686,0.0,0.11940298507462686,0.0,0.29850746268656714,0.0,0.0,0.26865671641791045,0.0,0.16417910447761194,0.0,0.0
卖老婆（三）,小调,察哈尔右翼前旗,六声,徵调,0.35857142857142865,3.267897512866191,0.8374896350934075,2.057142857142857,0.027777777777777776,0.3333333333333333,0.0,0.08333333333333333,0.0,0.19444444444444445,0.0,0.0,0.16666666666666666,0.0,0.1388888888888889,0.0,0.05555555555555555
喧闹五更,小调,武川县,五声,徵调,0.3848837209302326,2.5123274145884165,0.7568557184248506,2.0952380952380953,0.0,0.19047619047619047,0.0,0.11904761904761904,0.0,0.09523809523809523,0.0,0.0,0.4523809523809524,0.0,0.14285714285714285,0.0,0.0
