name,province,location,scale,mode,concent,twist,beat_convert,beat_average,0,1,2,3,4,5,6,7,8,9,10,11,12
上秤称,安徽省,霍山县,五声,徵调,0.3219178082191781,2.4678714215012874,0.6307351908170251,1.8271604938271604,0.0,0.13580246913580246,0.0,0.19753086419753085,0.0,0.14814814814814814,0.0,0.0,0.2345679012345679,0.0,0.2839506172839506,0.0,0.0
小小岔伞八根柴,安徽省,怀远县,五声,羽调,0.25504587155963304,2.6723244458444038,0.516006545599996,2.9473684210526314,0.07317073170731707,0.12195121951219512,0.0,0.14634146341463414,0.0,0.24390243902439024,0.0,0.0,0.2682926829268293,0.0,0.14634146341463414,0.0,0.0
我要不来冷了台,安徽省,天长县,五声,徵调,0.40131578947368435,1.9196699888040123,0.41079191812887456,2.3529411764705883,0.0,0.17647058823529413,0.0,0.17647058823529413,0.0,0.17647058823529413,0.0,0.0,0.3235294117647059,0.0,0.14705882352941177,0.0,0.0
摇橹,安徽省,无为县,五声,羽调,0.21681415929203535,2.676829992561568,0.7817782102589402,2.9,0.047619047619047616,0.35714285714285715,0.0,0.23809523809523808,0.0,0.16666666666666666,0.0,0.0,0.09523809523809523,0.0,0.09523809523809523,0.0,0.0
杨姑娘上吊,安徽省,凤阳县,七声,徵调,0.5999999999999998,2.3673727463366023,0.5524271728019903,1.5802469135802468,0.0,0.14814814814814814,0.012345679012345678,0.2222222222222222,0.0,0.1728395061728395,0.0,0.0,0.20987654320987653,0.0,0.20987654320987653,0.0,0.024691358024691357
挑担号子（九）,号子,嘉山县,六声,宫调,0.3785714285714286,2.759102877633964,0.43159305481815663,2.730769230769231,0.0,0.3076923076923077,0.0,0.3269230769230769,0.0,0.1346153846153846,0.038461538461538464,0.0,0.1346153846153846,0.0,0.057692307692307696,0.0,0.0
车水号子（一）,号子,长丰县,五声,徵调,0.4171717171717175,2.7459020502174245,0.7711031059462801,2.985074626865672,0.028985507246376812,0.2898550724637681,0.0,0.21739130434782608,0.0,0.13043478260869565,0.0,0.0,0.10144927536231885,0.0,0.2318840579710145,0.0,0.0
乡选小调,小调,天长县,五声,徵调,0.3406593406593404,2.4596013723002095,0.5253498249388945,2.5555555555555554,0.0,0.19444444444444445,0.0,0.19444444444444445,0.0,0.125,0.0,0.0,0.2916666666666667,0.0,0.19444444444444445,0.0,0.0
人民坐天下,小调,六安市,五声,徵调,0.3928571428571427,3.7990878403475272,0.8460616481675552,2.2857142857142856,0.017543859649122806,0.14035087719298245,0.0,0.2807017543859649,0.0,0.15789473684210525,0.0,0.0,0.24561403508771928,0.0,0.15789473684210525,0.0,0.0
劝赌,小调,肥西县,五声,徵调,0.3957142857142858,2.3446477530907175,0.5335936864527374,1.6,0.0,0.2,0.0,0.28888888888888886,0.0,0.2,0.0,0.0,0.2,0.0,0.1111111111111111,0.0,0.0
十七八岁大姐站桥头,小调,天长县,清乐,羽调,0.27941176470588225,2.356316414802169,0.7512317301778696,1.7333333333333334,0.0,0.11666666666666667,0.0,0.16666666666666666,0.0,0.1,0.016666666666666666,0.0,0.25,0.0,0.26666666666666666,0.0,0.08333333333333333
十二月花名（三）,小调,肥西县,五声,羽调,0.3487179487179485,2.697739936203508,0.7905694150420948,1.6,0.038461538461538464,0.34615384615384615,0.0,0.1346153846153846,0.0,0.038461538461538464,0.0,0.0,0.1346153846153846,0.0,0.3076923076923077,0.0,0.0
十对花,小调,泗县,五声,宫调,0.3802325581395349,2.7169847157885827,0.45169561168981337,2.0952380952380953,0.0,0.23809523809523808,0.0,0.2857142857142857,0.0,0.23809523809523808,0.0,0.0,0.16666666666666666,0.0,0.07142857142857142,0.0,0.0
十想（一）,小调,阜阳市,六声,徵调,0.3177215189873419,2.9130598000233627,0.666848933417457,2.318840579710145,0.0,0.21739130434782608,0.0,0.2028985507246377,0.0,0.17391304347826086,0.0,0.0,0.07246376811594203,0.0,0.30434782608695654,0.0,0.028985507246376812
十把扇子,小调,岳西县,五声,宫调,0.46167664670658637,3.999864391278418,0.5909368402852789,1.5,0.0,0.14285714285714285,0.0,0.125,0.0,0.36607142857142855,0.0,0.0,0.29464285714285715,0.0,0.07142857142857142,0.0,0.0
十月怀胎（一）,小调,望江县,五声,徵调,0.5163636363636364,3.251335808488942,0.672908702907742,3.2941176470588234,0.0,0.11764705882352941,0.0,0.3235294117647059,0.0,0.08823529411764706,0.0,0.0,0.29411764705882354,0.0,0.17647058823529413,0.0,0.0
十绣（四）,小调,阜阳市,六声,羽调,0.37354497354497346,3.313704957961745,0.3732598513993525,2.2857142857142856,0.0,0.11904761904761904,0.0,0.14285714285714285,0.0,0.19047619047619047,0.0,0.0,0.23809523809523808,0.0,0.2857142857142857,0.0,0.023809523809523808
十送,小调,芜湖市,五声,羽调,0.46772151898734193,4.208383852333505,0.9341607195766688,1.702127659574468,0.04081632653061224,0.12244897959183673,0.0,0.04081632653061224,0.0,0.32653061224489793,0.0,0.0,0.24489795918367346,0.0,0.22448979591836735,0.0,0.0
卖茅柴（二）,小调,东至县,五声,徵调,0.46538461538461523,3.1168395816784544,0.6262487524937674,2.4242424242424243,0.0,0.21212121212121213,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.42424242424242425,0.0,0.0
小奴把你当亲人,小调,淮北市,五声,宫调,0.31466666666666676,3.0532386922299692,0.687932689324727,2.4918032786885247,0.0,0.18032786885245902,0.0,0.13114754098360656,0.0,0.29508196721311475,0.0,0.0,0.26229508196721313,0.0,0.13114754098360656,0.0,0.0
小姑子打扮一身新,小调,六安市,五声,徵调,0.34195402298850563,5.207177420159984,0.6800165591080536,2.3466666666666667,0.0,0.12,0.0,0.13333333333333333,0.0,0.18666666666666668,0.0,0.0,0.4266666666666667,0.0,0.13333333333333333,0.0,0.0
小寡妇上坟（三）,小调,黟县,五声,商调,0.37058823529411766,2.8857069909668827,0.6406108267934274,2.046511627906977,0.0,0.3488372093023256,0.0,0.18604651162790697,0.0,0.13953488372093023,0.0,0.0,0.18604651162790697,0.0,0.13953488372093023,0.0,0.0
小小靸鞋满帮花,小调,天长县,五声,徵调,0.43333333333333346,2.744854268857318,0.8743356391668793,1.5714285714285714,0.017543859649122806,0.17543859649122806,0.0,0.22807017543859648,0.0,0.12280701754385964,0.0,0.0,0.22807017543859648,0.0,0.22807017543859648,0.0,0.0
