名称,省份,位置,音阶,调式,协和度,曲折度,节奏变化,平均音长,0,1,2,3,4,5,6,7,8,9,10,11,12
“妙根”好爷好亲人,江苏省,苏州市,五声,徵调,0.424509804,5.060818685,0.755739412,1.522123894,0.017391304,0.191304348,0,0.104347826,0,0.07826087,0,0,0.217391304,0,0.391304348,0,0
一只麻雀叫十声,江苏省,丹徒县,五声,宫调,0.549315068,4.132592389,0.636658835,1.667752443,0.003246753,0.256493506,0,0.058441558,0,0.24025974,0,0,0.301948052,0,0.13961039,0,0
一寸光阴一寸金,江苏省,昆山市,五声,宫调,0.333928571,2.992487601,0.704263388,2.109090909,0.035087719,0.140350877,0,0.105263158,0,0.140350877,0,0,0.245614035,0,0.333333333,0,0
一心参加八路军,江苏省,睢宁县,五声,徵调,0.316455696,2.438420302,0.60441087,2.352941176,0,0.191176471,0,0.294117647,0,0.161764706,0,0,0.205882353,0,0.147058824,0,0
一把芝麻撒上天(一),江苏省,无锡市,五声,角调,0.457746479,3.575866338,0.640396771,2.117647059,0,0.161764706,0,0,0,0.294117647,0,0,0.279411765,0,0.264705882,0,0
一更月儿照花台,江苏省,新沂市,六声,宫调,0.205970149,3.40002264,0.526749844,2.060606061,0.029411765,0.176470588,0,0.132352941,0,0.147058824,0,0,0.147058824,0,0.279411765,0,0.088235294
一根丝线牵过河,江苏省,江都市,五声,徵调,0.399152542,2.837015686,0.968138248,2.352941176,0,0.18627451,0,0.166666667,0,0.137254902,0,0,0.264705882,0,0.245098039,0,0
一棵小树不成林,江苏省,金坛市,五声,角调,0.340506329,3.398937541,0.576289315,2.711864407,0,0.186440678,0,0.169491525,0,0.220338983,0,0,0.203389831,0,0.220338983,0,0
一粒下土一棵秧,江苏省,高淳县,五声,角调,0.512698413,3.027658529,0.595802374,2.56,0,0.2,0,0.06,0,0.36,0,0,0.2,0,0.18,0,0
一绣京江城,江苏省,盐城市,五声,徵调,0.329032258,3.416825603,0.833854004,2.064516129,0,0.258064516,0,0.096774194,0,0.129032258,0,0,0.193548387,0,0.322580645,0,0
一记高呀一记低,江苏省,连云港市,五声,商调,0.534951456,2.727205505,0.568366027,1.962264151,0,0.075471698,0,0.283018868,0,0.320754717,0,0,0.188679245,0,0.132075472,0,0
东方发白晓星上,江苏省,姜堰市,六声,徵调,0.26125,3.334633492,0.901856681,3.444444444,0.027027027,0.243243243,0,0.243243243,0,0.081081081,0,0.027027027,0.189189189,0,0.189189189,0,0
东方日出万丈高,江苏省,海门市,五声,角调,0.483333333,2.868034694,0.699469665,2.56,0,0,0,0.08,0,0.28,0,0,0.36,0,0.28,0,0
两个女婿拜年来,江苏省,响水县,五声,徵调,0.313861386,3.681081841,0.789281937,1.552238806,0.028985507,0.144927536,0,0.086956522,0,0.202898551,0,0,0.304347826,0,0.231884058,0,0
么鸟做窠做得高,江苏省,宜兴市,五声,宫调,0.385714286,4.475535297,0.488640493,2.169491525,0.016666667,0.4,0,0.166666667,0,0.2,0,0,0.016666667,0,0.2,0,0
二月里龙抬头,江苏省,如皋市,五声,徵调,0.360169492,2.44001342,0.71375377,1.578947368,0.012987013,0.233766234,0,0.168831169,0,0.103896104,0,0,0.298701299,0,0.181818182,0,0
五句半子真好听,江苏省,高邮市,五声,宫调,0.442957746,3.317873503,0.566633367,3.65,0.069767442,0.325581395,0,0.174418605,0,0.081395349,0,0,0.23255814,0,0.11627907,0,0
五姑娘(二),江苏省,吴江市,五声,徵调,0.466596639,2.6142519,0.733853982,2.285714286,0.078947368,0.236842105,0,0.223684211,0,0.210526316,0,0,0.092105263,0,0.157894737,0,0
俏尼僧（一）,江苏省,常州市,五声,徵调,0.334645669,4.294120619,0.666173116,2.245614035,0,0.219298246,0,0.210526316,0,0.149122807,0,0,0.219298246,0,0.201754386,0,0
做花鞋,江苏省,金湖县,雅乐,羽调,0.466666667,2.179721624,0.562065805,2.612244898,0.02,0.1,0,0.18,0,0.3,0,0.02,0.1,0,0.2,0,0.08
先生不来我就来,江苏省,如皋市,六声,宫调,0.209274194,6.247437847,0.767280145,2.847457627,0.048387097,0.258064516,0,0.231182796,0,0.129032258,0,0,0.172043011,0,0.139784946,0,0.021505376
冬天日头竹竿高,江苏省,丹阳市,五声,宫调,0.335,3.418776189,1.056928014,2.155339806,0.063636364,0.218181818,0,0.236363636,0,0.236363636,0,0,0.090909091,0,0.154545455,0,0
割心割肝舍不得,江苏省,淮安市,六声,徵调,0.378828829,4.146304764,0.604478133,2.635294118,0.022988506,0.149425287,0,0.229885057,0,0.034482759,0.08045977,0,0.218390805,0,0.264367816,0,0
勿晓得你姐姐啥心肠,江苏省,吴江市,五声,羽调,0.485585586,3.432780103,0.80098791,1.914529915,0,0.222222222,0,0.153846154,0,0.247863248,0,0,0.188034188,0,0.188034188,0,0
