name,province,location,scale,mode,concent,twist,beat_convert,beat_average,0,1,2,3,4,5,6,7,8,9,10,11,12
催眠曲,儿歌,安阳市,五声,羽调,0.15,3.3346516071226278,1.1449617897554487,2.7586206896551726,0.06451612903225806,0.2903225806451613,0.0,0.2903225806451613,0.0,0.22580645161290322,0.0,0.0,0.03225806451612903,0.0,0.0967741935483871,0.0,0.0
滚铁环,儿歌,郏县,六声,宫调,0.3616504854368931,3.2121829856177055,0.5756395979652218,2.1666666666666665,0.0,0.15625,0.0,0.13541666666666666,0.0,0.22916666666666666,0.0625,0.0,0.3229166666666667,0.0,0.09375,0.0,0.0
一人一马一杆枪（打夯号子）,号子,上蔡县,五声,宫调,0.5612903225806452,3.5415383672052925,0.5115845482420281,3.3684210526315788,0.0,0.21052631578947367,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.3157894736842105,0.0,0.3157894736842105,0.0,0.0
大嗨呀号（夯号）,号子,台前县,五声,商调,0.39222222222222225,3.2496576294546298,0.5264730886222754,1.9574468085106382,0.0,0.1276595744680851,0.0,0.2978723404255319,0.0,0.1702127659574468,0.0,0.0,0.1276595744680851,0.0,0.2765957446808511,0.0,0.0
打硪号子（二）,号子,范县,,角调,0.2541884816753929,4.208598794148192,0.4386146514880687,2.5945945945945947,0.0,0.28378378378378377,0.006756756756756757,0.08783783783783784,0.0,0.11486486486486487,0.0,0.006756756756756757,0.14864864864864866,0.0,0.33783783783783783,0.0,0.013513513513513514
拉号（四）,号子,平顶山市,六声,徵调,0.5614718614718615,3.823534548847358,0.7206932615402956,2.330188679245283,0.0,0.09433962264150944,0.0,0.18867924528301888,0.0,0.1320754716981132,0.0,0.0,0.3584905660377358,0.0,0.16981132075471697,0.0,0.05660377358490566
推火车号,号子,新乡市,六声,徵调,0.3624999999999999,2.0926352897341776,0.5722479548085695,3.2131147540983607,0.0,0.14754098360655737,0.01639344262295082,0.2786885245901639,0.0,0.21311475409836064,0.0,0.0,0.14754098360655737,0.0,0.19672131147540983,0.0,0.0
洪河缆头号,号子,新蔡县,六声,羽调,0.6257281553398054,6.0410170998033745,0.36041663103829447,2.0594059405940595,0.00980392156862745,0.11764705882352941,0.0,0.4117647058823529,0.0,0.10784313725490197,0.0,0.0,0.0392156862745098,0.0,0.29411764705882354,0.0,0.0196078431372549
粮坊喝斗号,号子,新乡市,六声,羽调,0.3135593220338983,5.0715542160035305,0.7100469468046932,2.1052631578947367,0.05,0.1,0.0,0.15,0.0,0.18333333333333332,0.0,0.0,0.25,0.0,0.15,0.0,0.11666666666666667
红石峡夯歌,号子,密县,五声,宫调,0.7129921259842515,4.596766417934744,0.40931834054467925,2.723404255319149,0.0,0.5638297872340425,0.0,0.18085106382978725,0.0,0.06382978723404255,0.0,0.0,0.06382978723404255,0.0,0.1276595744680851,0.0,0.0
